,type,sendTime,rcvTime,vehicleId,sender,messageID,x_pos,y_pos,x_spd,y_spd,exchangedMessageType,EventID,lanePosition,laneIndex,x_currentDirection,y_currentDirection,maxSpeed,maxDeceleration,hazardAttack,hazardOccurrence,hazardOccurrencePercentage
0,2,,1547.0,2265,,,7651.006289848355,6337.832015034282,2.027871921420135,0.6029947399829171,,,,,,,,,,,
1,2,,1548.0,2265,,,7654.7247929672385,6335.605516278235,3.806835574651027,1.194509489971894,,,,,,,,,,,
2,2,,1549.0,2265,,,7659.582492846747,6337.095644281482,5.472590768783768,1.7174055761566671,,,,,,,,,,,
3,2,,1550.0,2265,,,7664.800644915835,6338.753645546767,3.7709883196919862,1.183629863372644,,,,,,,,,,,
4,2,,1551.0,2265,,,7666.256097029431,6339.217372475807,0.000547526091614,0.000547526091614,,,,,,,,,,,
5,2,,1552.0,2265,,,7666.3691499214865,6339.213078922326,0.000547526091614,0.000547526091614,,,,,,,,,,,
6,2,,1553.0,2265,,,7666.313725924876,6339.215261396896,0.000547526091614,0.000547526091614,,,,,,,,,,,
7,2,,1554.0,2265,,,7666.201270583766,6339.218600455256,0.000547526091614,0.000547526091614,,,,,,,,,,,
8,2,,1555.0,2265,,,7666.42480733473,6339.217340990768,0.000547526091614,0.000547526091614,,,,,,,,,,,
9,2,,1556.0,2265,,,7666.726219403402,6339.210383862967,0.000547526091614,0.000547526091614,,,,,,,,,,,
10,2,,1557.0,2265,,,7666.737770165673,6339.216743775627,0.000547526091614,0.000547526091614,,,,,,,,,,,
11,2,,1558.0,2265,,,7666.6937060200435,6339.20991646651,0.000547526091614,0.000547526091614,,,,,,,,,,,
12,2,,1559.0,2265,,,7667.836299776986,6339.600186505761,2.082698043449641,0.656689903463885,,,,,,,,,,,
13,2,,1560.0,2265,,,7671.1088860827385,6340.811081002916,3.9861781189647,1.395769441302754,,,,,,,,,,,
14,2,,1561.0,2265,,,7676.117935058989,6343.184831742325,5.482450265185003,2.627012516585057,,,,,,,,,,,
15,2,,1562.0,2265,,,7682.72118741507,6346.230616457198,7.288892075283278,3.378611251114209,,,,,,,,,,,
16,3,1562.772993989475,1562.772993989475,2265,2253.0,8267702.0,7886.7314601263315,6606.33214031807,-4.850837397173068,-11.024288257522318,4008949351.0,0.0,38.0,0.0,-0.40279696456207204,-0.9152893560724831,50.0,4.0,0.0,0.0,95.0
17,2,,1563.0,2265,,,7691.186832098432,6350.116490879542,9.174477894664978,4.2524018568672926,,,,,,,,,,,
18,3,1563.772995995705,1563.772995995705,2265,2253.0,8273294.0,7881.977636432336,6595.3013296525305,-4.882937084550504,-11.097910936532422,4008949351.0,0.0,50.0,0.0,-0.40279696456207204,-0.9152893560724831,50.0,4.0,0.0,0.0,95.0
19,2,,1564.0,2265,,,7700.78791458725,6354.843513253351,9.023030334720808,4.650723332101405,,,,,,,,,,,
20,3,1564.772984854109,1564.772984854109,2265,2253.0,8278846.0,7876.098786095506,6584.272971569028,-6.288173837151518,-10.309970541100686,4008949351.0,0.0,4.0,0.0,-0.520755319666519,-0.8537059780972721,50.0,4.0,0.0,0.0,95.0
21,2,,1565.0,2265,,,7707.574687572277,6358.735314566899,4.944746226028707,2.870998343702313,,,,,,,,,,,
22,3,1565.7729865958026,1565.7729865958026,2265,2253.0,8284167.0,7869.561337345259,6573.968037778358,-6.324588497744054,-10.312093676151406,4008949351.0,0.0,16.0,0.0,-0.5228813236554131,-0.852405491167415,50.0,4.0,0.0,0.0,95.0
23,2,,1566.0,2265,,,7710.323933866385,6360.3828710697735,1.052843458248186,0.6118677281079671,,,,,,,,,,,
24,3,1566.7729882492708,1566.7729882492708,2265,2253.0,8289621.0,7863.767770899924,6563.683888769321,-6.307453456777653,-10.284350525250007,4008949351.0,0.0,28.0,0.0,-0.5228813236554131,-0.852405491167415,50.0,4.0,0.0,0.0,95.0
25,2,,1567.0,2265,,,7710.346845042705,6360.439376530344,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
26,3,1567.7729898251541,1567.7729898251541,2265,2253.0,8295052.0,7856.989172755893,6553.353850707334,-6.282131832760789,-10.242917693003468,4008949351.0,0.0,40.0,0.0,-0.5228813236554131,-0.852405491167415,50.0,4.0,0.0,0.0,95.0
27,2,,1568.0,2265,,,7710.188083380119,6360.448148834114,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
28,3,1568.7729913205592,1568.7729913205592,2265,2253.0,8300535.0,7850.485239820826,6543.07591752422,-6.334637332204854,-10.328523560807223,4008949351.0,0.0,52.0,0.0,-0.5228813236554131,-0.852405491167415,50.0,4.0,0.0,0.0,95.0
29,2,,1569.0,2265,,,7710.061949183262,6360.451314064519,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
30,3,1569.772992735822,1569.772992735822,2265,2253.0,8305990.0,7844.252132755467,6532.765450805044,-6.337554396653921,-10.333640983251192,4008949351.0,0.0,64.0,0.0,-0.5228813236554131,-0.852405491167415,50.0,4.0,0.0,0.0,95.0
31,2,,1570.0,2265,,,7710.125276334974,6360.447829979605,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
32,3,1570.772994071803,1570.772994071803,2265,2253.0,8315675.0,7838.0509422252935,6522.5741848152165,-6.31628741313377,-10.216184380724176,4008949351.0,0.0,0.0,0.0,-0.525930992653187,-0.850527242930426,50.0,4.0,0.0,0.0,95.0
33,2,,1571.0,2265,,,7710.151387167542,6360.444977635498,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
34,3,1571.772995326776,1571.772995326776,2265,2253.0,8321063.0,7831.035598683402,6512.356749037436,-6.676217304453756,-9.982922676785421,4008949351.0,0.0,5.0,0.0,-0.555944057793161,-0.831219708984618,50.0,4.0,0.0,0.0,95.0
35,2,,1572.0,2265,,,7710.067709481504,6360.450220468251,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
36,3,1572.772996501439,1572.772996501439,2265,2253.0,8326487.0,7824.432939719228,6502.328435719245,-6.682254251896264,-9.992068417827777,4008949351.0,0.0,17.0,0.0,-0.5559440577933,-0.831219708984525,50.0,4.0,0.0,0.0,95.0
37,2,,1573.0,2265,,,7710.414311309209,6360.438563734303,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
38,3,1573.772984595478,1573.772984595478,2265,2253.0,8331967.0,7817.893366940237,6492.274275286878,-6.734029116407922,-10.06979710811347,4008949351.0,0.0,29.0,0.0,-0.5559440577933,-0.831219708984525,50.0,4.0,0.0,0.0,95.0
39,2,,1574.0,2265,,,7710.418534377466,6360.433016529784,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
40,3,1574.7729856092872,1574.7729856092872,2265,2253.0,8341700.0,7811.410634865859,6482.214895123389,-6.724903389429233,-10.056159864104922,4008949351.0,0.0,42.0,0.0,-0.5559440577933,-0.831219708984525,50.0,4.0,0.0,0.0,95.0
41,2,,1575.0,2265,,,7710.383826928285,6360.428867799327,0.0017390938489550002,0.0017390938489550002,,,,,,,,,,,
42,3,1575.772986542918,1575.772986542918,2265,2253.0,8356099.0,7805.099695547455,6472.158922273852,-6.726224356668013,-10.058240013455684,4008949351.0,0.0,54.0,0.0,-0.555944057793161,-0.831219708984618,50.0,4.0,0.0,0.0,95.0
