,type,sendTime,rcvTime,vehicleId,sender,messageID,x_pos,y_pos,x_spd,y_spd,exchangedMessageType,EventID,RoadID,lanePosition,laneIndex,x_currentDirection,y_currentDirection,maxSpeed,maxDeceleration,hazardAttack,hazardOccurrence,hazardOccurrencePercentage
0,2,,863.0,1281,,,5601.904017921173,4833.737799084813,-1.18439331414873,-1.7940151693010322,,,,,,,,,,,,
1,2,,864.0,1281,,,5600.246721004621,4831.065874267861,-2.213393643348469,-3.352654666626218,,,,,,,,,,,,
2,2,,865.0,1281,,,5597.42327042576,4826.793463752273,-3.309331326150609,-5.012687853779184,,,,,,,,,,,,
3,2,,866.0,1281,,,5593.540898475063,4820.938288520423,-4.325107674850654,-6.551303162565861,,,,,,,,,,,,
4,2,,867.0,1281,,,5588.563070005139,4813.562954444904,-4.7831441534649795,-7.245126774084307,,,,,,,,,,,,
5,2,,868.0,1281,,,5584.601531732688,4807.495508372406,-4.26055966604081,-6.453561601874151,,,,,,,,,,,,
6,2,,869.0,1281,,,5585.429857887506,4799.700426003349,4.483699307335022,-8.653157239656663,,,,,,,,,,,,
7,2,,870.0,1281,,,5593.481244525785,4792.386403911668,8.612046359463264,-7.932620114449835,,,,,,,,,,,,
8,2,,871.0,1281,,,5602.380094649054,4784.105914899525,9.0411552037766,-8.326846703688176,,,,,,,,,,,,
9,2,,872.0,1281,,,5611.411380854739,4775.791127677166,9.005404418612532,-8.29364529325269,,,,,,,,,,,,
10,2,,873.0,1281,,,5620.453898711291,4767.491458863031,9.010509396666583,-8.297058508074466,,,,,,,,,,,,
11,2,,874.0,1281,,,5628.154259444511,4760.423878950811,6.207524638307345,-5.714934480011341,,,,,,,,,,,,
12,2,,875.0,1281,,,5633.377512877144,4755.650597761664,5.52008061068534,-5.082123451462833,,,,,,,,,,,,
13,2,,876.0,1281,,,5642.785547744132,4755.535006043725,9.306793422372435,1.7324574239747221,,,,,,,,,,,,
14,2,,877.0,1281,,,5649.738448629866,4763.4825170958575,7.635666172453352,8.63666742918729,,,,,,,,,,,,
15,2,,878.0,1281,,,5657.677806665019,4772.94256911327,7.745699057579104,9.579502479790317,,,,,,,,,,,,
16,2,,879.0,1281,,,5665.276411144602,4782.726500332334,7.486299225488393,9.75407668037323,,,,,,,,,,,,
17,2,,880.0,1281,,,5672.567472260842,4792.467886750412,7.431063341626038,9.682023680691785,,,,,,,,,,,,
18,2,,881.0,1281,,,5680.069209652361,4802.222145061206,7.437959681658008,9.691059650872775,,,,,,,,,,,,
19,2,,882.0,1281,,,5687.618230909082,4811.985977317219,7.440546343451785,9.694551988872837,,,,,,,,,,,,
20,2,,883.0,1281,,,5694.937357507256,4821.827329418979,7.143919038725121,9.965069936299484,,,,,,,,,,,,
21,2,,884.0,1281,,,5701.3441702108,4832.339944602716,6.353408753054582,10.453003248850465,,,,,,,,,,,,
22,2,,885.0,1281,,,5707.776298904481,4842.84209551667,6.366296351400123,10.473992043498326,,,,,,,,,,,,
23,2,,886.0,1281,,,5713.848160881747,4853.687820217132,5.51788362231723,10.91532780408335,,,,,,,,,,,,
24,2,,887.0,1281,,,5719.57172926981,4864.651823257331,5.554072700413025,10.986885049037662,,,,,,,,,,,,
25,3,887.8324050620779,887.8324050620779,1281,1233.0,3985577.0,5916.765630724299,5240.452632918704,-6.275802759103036,-12.848730610045422,0.0,0.0,,217.0,0.0,-0.438895035635378,-0.8985383395796861,50.0,4.0,0.0,0.0,71.0
26,2,,888.0,1281,,,5725.355015279204,4875.611470176908,5.54925532003882,10.977081217955313,,,,,,,,,,,,
27,3,888.832405822053,888.832405822053,1281,1233.0,3990092.0,5910.62989218931,5227.584775010199,-6.308581953027424,-12.915838597363642,0.0,0.0,,231.0,0.0,-0.43889503563513604,-0.8985383395798041,50.0,4.0,0.0,0.0,71.0
28,2,,889.0,1281,,,5730.341568261216,4884.84163231099,3.750987638046051,7.419594476350946,,,,,,,,,,,,
29,3,889.7344671453259,889.7344671453259,1281,771.0,3994284.0,5926.018298563146,4819.021856307534,0.0,0.0,1.0,22.0,--32750#3,20.0,0.0,-0.9238106510846741,0.38284968452711404,70.0,4.0,0.0,0.0,80.0
30,3,889.832406574012,889.832406574012,1281,1233.0,3994846.0,5903.689369229715,5214.811546036845,-6.767274567708261,-12.608533677306196,0.0,0.0,,10.0,0.0,-0.47291813132243804,-0.8811063732980781,50.0,4.0,0.0,0.0,71.0
31,2,,890.0,1281,,,5732.601030864339,4890.063091252633,1.720955966746158,3.403520901299125,,,,,,,,,,,,
32,3,890.734465713974,890.734465713974,1281,771.0,3999062.0,5913.294948686746,4824.25896886766,0.0,0.0,1.0,22.0,--32750#3,33.0,0.0,-0.9238106510846741,0.38284968452711404,70.0,4.0,0.0,0.0,80.0
33,3,890.8324088452499,890.8324088452499,1281,1233.0,3999569.0,5896.398546284418,5202.093529616445,-6.782287358427556,-12.63648647632875,0.0,0.0,,24.0,0.0,-0.47291813132243804,-0.8811063732980781,50.0,4.0,0.0,0.0,71.0
34,2,,891.0,1281,,,5733.398202565444,4891.335529313195,0.0011773372611210001,0.001238913767728,,,,,,,,,,,,
35,3,891.734454895045,891.734454895045,1281,771.0,4003573.0,5900.659241586825,4829.500940839745,0.0,0.0,1.0,22.0,--32750#3,47.0,0.0,-0.9238106510846471,0.38284968452717805,70.0,4.0,0.0,0.0,80.0
36,3,891.8324110283729,891.8324110283729,1281,1233.0,4004074.0,5886.637274395397,5191.047997515243,-6.781895818063362,-12.6346797874272,0.0,0.0,,39.0,1.0,-0.47294484675144904,-0.881092033746332,50.0,4.0,0.0,0.0,71.0
37,2,,892.0,1281,,,5733.533262083129,4891.315807131234,0.001114396548677,0.001114396548677,,,,,,,,,,,,
38,3,892.7344569869018,892.7344569869018,1281,771.0,4011989.0,5888.192208186589,4834.760754423759,0.0,0.0,1.0,22.0,--32750#3,61.0,0.0,-0.9255294457778781,0.378675646164488,70.0,4.0,0.0,0.0,80.0
