,type,rcvTime,vehicleId,x_pos,y_pos,x_spd,y_spd
0,2,349,597,7905.4031695075655,6654.396384995262,-0.689037303536813,-1.9466532872588211
1,2,350,597,7904.683229294251,6651.508258682781,-1.310835704910136,-3.70343504367339
2,2,351,597,7902.791083157537,6646.694272742989,-2.051495512712903,-5.72768026082052
3,2,352,597,7900.035902080195,6639.818726302414,-3.017812773990346,-7.424706117622053
4,2,353,597,7896.22855098252,6631.548894905092,-3.994308103249166,-9.076497353406463
5,2,354,597,7891.738204335316,6621.617166465585,-4.688443348848903,-10.653857644370124
6,2,355,597,7886.783323969537,6610.3956279325985,-4.962838231971628,-11.277421892707205
7,2,356,597,7881.852291402925,6599.072143885065,-4.978903952940874,-11.313901728125183
8,2,357,597,7883.5450564566945,6589.582257940306,10.286822539786371,-6.767401569376881
9,2,358,597,7895.220806700523,6585.391737891185,11.694660015551527,-4.2114356013281125
10,2,359,597,7906.847508308911,6581.196442676453,11.638018525250981,-4.191037220153005
11,2,360,597,7918.755961410122,6576.993373194272,11.670650935974786,-4.202217192059282
12,2,361,597,7930.514751159177,6572.825286367025,11.670023002758116,-4.100999558496515
13,2,362,597,7942.048403697526,6568.891336187478,11.78769926727128,-3.926027867617795
14,2,363,597,7953.453564026914,6564.974615204101,11.72118249749124,-3.903869888075376
15,2,364,597,7965.352223317873,6561.084320331895,11.247848746945218,-3.746193566794505
16,2,365,597,7974.307028785723,6558.118147170436,6.9783350776529876,-2.324157373662937
17,2,366,597,7981.400733433863,6555.939288617644,8.102414713397653,-2.381283658845477
18,2,367,597,7990.8572100999545,6555.041825888322,10.577907292006403,-0.472195558413926
19,2,368,597,8002.28236557683,6554.613183451389,12.329837460279814,-0.6192521877497791
20,2,369,597,8015.027953431642,6553.978919860773,12.30896593978379,-0.618203330376012
21,2,370,597,8027.470535878731,6553.346564650555,12.296696314602944,-0.6178446842760881
22,2,371,597,8040.120924446407,6552.700436886909,12.329332865046478,-0.6190001786703421
23,2,372,597,8052.794840310193,6552.052269501122,12.411260930607687,-0.623226409583512
24,2,373,597,8065.370462288905,6551.4003777924445,12.402089868880713,-0.6227705044718861
25,2,374,597,8077.845532124808,6550.775311977903,12.420816798432949,-0.623711589631436
26,2,375,597,8090.016630759421,6550.1773655290035,12.321185001221446,-0.6190603598451511
27,2,376,597,8102.108444892569,6549.57440279409,12.381952818220054,-0.6221927002855661
28,2,377,597,8114.485004803078,6548.903401959538,12.342722902755822,-0.7196042990508431
29,2,378,597,8126.925962336214,6548.12184961333,12.366112424420871,-0.7989764844846421
30,2,379,597,8137.396164655772,6547.456277982589,8.491601804784889,-0.5486532805816761
31,2,380,597,8144.43047323989,6547.0078340004475,7.543578884542786,-0.48739527950723205
32,2,381,597,8153.052592062147,6546.256342068183,9.409908286214499,-0.844665774406221
33,2,382,597,8163.339302380707,6545.121426794066,11.13839531271476,-1.303879220327097
34,2,383,597,8175.292537140887,6543.7195894385495,12.3214558453366,-1.442061939947525
35,2,384,597,8187.415775518576,6542.28711712925,12.279101737972288,-1.437103520749675
36,2,385,597,8199.794649680252,6540.840942196844,12.245549430367241,-1.433287013751419
37,2,386,597,8212.230454872515,6539.417809113857,12.312113626725917,-1.385736807571953
38,2,387,597,8224.74445042164,6538.6731946595755,12.367173599401907,-0.5241603409009741
39,2,388,597,8236.89976156633,6538.177332084111,12.419589778420384,-0.526557700179753
40,2,389,597,8249.256194434984,6537.231911416876,12.384993048504095,-1.158321749824826
41,2,390,597,8261.537465544148,6536.067240810587,12.294579188968616,-1.17195813146023
42,2,391,597,8273.799892166502,6534.895802926365,12.354062843651947,-1.177628867157684
