,type,sendTime,rcvTime,vehicleId,sender,messageID,x_pos,y_pos,x_spd,y_spd,exchangedMessageType,EventID,RoadID,lanePosition,laneIndex,x_currentDirection,y_currentDirection,maxSpeed,maxDeceleration,hazardAttack,hazardOccurrence,hazardOccurrencePercentage
0,2,,3176.0,4665,,,9716.599744944624,7646.57123976654,1.860152282709456,-1.345608901810241,,,,,,,,,,,,
1,2,,3177.0,4665,,,9719.576601962926,7644.64726295505,3.713127935217837,-2.453320786508658,,,,,,,,,,,,
2,2,,3178.0,4665,,,9724.340504381975,7641.486353323818,5.587453514097567,-3.691485749538021,,,,,,,,,,,,
3,2,,3179.0,4665,,,9731.897960068818,7639.093250008307,8.830788060858383,-2.203052075966434,,,,,,,,,,,,
4,2,,3180.0,4665,,,9741.519270146155,7635.966131035637,10.4557379208676,-3.688685331336202,,,,,,,,,,,,
5,2,,3181.0,4665,,,9752.740061301833,7631.001471734519,12.359444132477524,-4.7120775581956025,,,,,,,,,,,,
6,2,,3182.0,4665,,,9766.386808762227,7626.973663838554,12.673139135640366,-3.793190469085305,,,,,,,,,,,,
7,2,,3183.0,4665,,,9776.758081209022,7623.890557428625,8.36503374469595,-2.503823882406755,,,,,,,,,,,,
8,2,,3184.0,4665,,,9782.475321440219,7619.754599082972,6.201086471107719,-5.025030258702431,,,,,,,,,,,,
9,2,,3185.0,4665,,,9785.288567045007,7611.81667488706,-0.696759536149241,-10.371176025266214,,,,,,,,,,,,
10,2,,3186.0,4665,,,9778.420129298318,7602.470456173766,-7.604070212748803,-9.917896523878051,,,,,,,,,,,,
11,2,,3187.0,4665,,,9770.595950955598,7591.304101840505,-7.365559052756879,-12.817248954739082,,,,,,,,,,,,
12,2,,3188.0,4665,,,9779.465295637117,7582.285731440456,13.755386446748917,-5.437158481256435,,,,,,,,,,,,
13,2,,3189.0,4665,,,9792.528310051486,7575.554592659094,12.277343646212058,-8.15810227118896,,,,,,,,,,,,
14,2,,3190.0,4665,,,9803.865616593503,7566.245662415806,10.588345195990565,-10.282253242973347,,,,,,,,,,,,
15,2,,3191.0,4665,,,9813.145401239264,7554.736444859931,9.101061200005255,-11.59301937693186,,,,,,,,,,,,
16,2,,3192.0,4665,,,9822.046903368631,7543.074023626398,8.942180669971284,-11.686239258845745,,,,,,,,,,,,
