,type,rcvTime,vehicleId,x_pos,y_pos,x_spd,y_spd
0,2,3185,4677,7459.324332561308,3456.2589893622408,-2.014609071504993,-0.533594489484391
1,2,3186,4677,7456.045383744833,3455.435898717467,-3.856967288365108,-1.021566656196863
2,2,3187,4677,7451.147752876316,3454.1282953582363,-5.690305918219745,-1.5071919738446131
3,2,3188,4677,7444.036532807193,3452.449825803792,-7.78451097558944,-1.7951237982698132
4,2,3189,4677,7435.015757432645,3450.38680034748,-9.828231950533894,-2.216526471432075
5,2,3190,4677,7426.039166083575,3449.1305618722804,-7.4065793065343435,-0.5149369863273631
6,2,3191,4677,7419.360794398114,3448.645232540609,-7.641607173624107,-0.589512148346863
7,2,3192,4677,7417.30600622552,3443.4291102559955,-0.32470633574142704,-9.582336029347841
8,2,3193,4677,7417.385239000135,3432.704928788437,0.208318399719491,-11.628514259845668
9,2,3194,4677,7417.470067783149,3419.9077491686157,0.24698542552742003,-13.788462636830836
10,2,3195,4677,7417.921906894839,3405.076285797654,0.280543443917917,-15.66302076104629
11,2,3196,4677,7417.784061350171,3388.324329093916,-0.440516494701834,-17.58642816115201
12,2,3197,4677,7417.66028554871,3370.2642134499115,-0.347361466197787,-18.082814560137074
13,2,3198,4677,7415.8273579509805,3352.2481532494157,-2.133934043014137,-18.020982930788662
14,2,3199,4677,7413.766298721772,3334.245408785194,-2.13284747480971,-18.01202538616045
15,2,3200,4677,7410.729205113115,3316.3558319511726,-3.247156522813127,-17.821425178185304
16,2,3201,4677,7407.206960097337,3298.5839714222484,-3.484063699551486,-17.816820804416967
17,2,3202,4677,7404.21987599919,3282.2816381439848,-2.7819257716153363,-14.353332003450468
18,2,3203,4677,7401.760417320044,3270.3501712475754,-1.9256399828849262,-9.935504800169449
19,2,3204,4677,7400.35802785541,3262.835884265108,-1.069501762270221,-5.518250283757931
