,type,sendTime,rcvTime,vehicleId,sender,messageID,x_pos,y_pos,x_spd,y_spd,exchangedMessageType,EventID,lanePosition,laneIndex,x_currentDirection,y_currentDirection,maxSpeed,maxDeceleration,hazardAttack,hazardOccurrence,hazardOccurrencePercentage
0,2,,3098.0,4539,,,1833.0283356151094,2182.834570386863,16.06246072135541,-0.092308517172282,,,,,,,,,,,
1,2,,3099.0,4539,,,1850.297199130521,2182.735058794779,18.254623239677503,-0.10461649540525401,,,,,,,,,,,
2,2,,3100.0,4539,,,1869.7164778628867,2182.62307530344,20.197952566823016,-0.11597640470798301,,,,,,,,,,,
3,2,,3101.0,4539,,,1891.0371016800707,2182.5013649143634,22.396606499492687,-0.128677307320287,,,,,,,,,,,
4,2,,3102.0,4539,,,1914.5977983253347,2182.364862821468,24.696332361640813,-0.141917244374119,,,,,,,,,,,
5,2,,3103.0,4539,,,1940.7543025976925,2182.2117676657426,26.928016897058598,-0.15484582864173602,,,,,,,,,,,
6,2,,3104.0,4539,,,1968.8509480191176,2182.051222586646,29.17358237204351,-0.16782859967132702,,,,,,,,,,,
7,2,,3105.0,4539,,,1999.43634062184,2181.8713715464514,31.536035527620772,-0.18142966908020502,,,,,,,,,,,
8,2,,3106.0,4539,,,2031.9874658775273,2181.6866762231152,33.79085915004587,-0.19397486261739902,,,,,,,,,,,
9,3,3106.194597389824,3106.194597389824,4539,4125.0,18711035.0,2405.3162796141264,2174.843836715538,-33.482638316480994,-3.622702230762814,0.0,0.0,1043.0,0.0,-0.9941656884640491,-0.10786372829085401,70.0,4.0,0.0,0.0,80.0
10,2,,3107.0,4539,,,2067.0184248612077,2181.485926381805,36.10184776859132,-0.207279641379876,,,,,,,,,,,
11,3,3107.1945989666133,3107.1945989666133,4539,4125.0,18717028.0,2371.8066524204855,2171.862522775817,-33.55387970258777,-2.847823428521592,0.0,0.0,1077.0,0.0,-0.9963891181159431,-0.084904212499331,70.0,4.0,0.0,0.0,80.0
12,2,,3108.0,4539,,,2104.3621753659872,2181.268318744291,38.01452888218887,-0.218291291942345,,,,,,,,,,,
13,3,3108.1945879588757,3108.1945879588757,4539,4125.0,18735312.0,2338.0882371476887,2169.5314579735823,-33.69518543375435,-1.894354622867987,0.0,0.0,1111.0,0.0,-0.9984030580120501,-0.056491891030367,70.0,4.0,0.0,0.0,80.0
14,2,,3109.0,4539,,,2142.5003724808894,2181.2429477115197,37.95928951819418,0.37437946356413104,,,,,,,,,,,
15,3,3109.1945891623077,3109.1945891623077,4539,4125.0,18745648.0,2304.146951617717,2167.786231506145,-33.635992529105216,-1.338550317892897,0.0,0.0,1144.0,0.0,-0.999193540559222,-0.040153063453803005,70.0,4.0,0.0,0.0,80.0
16,2,,3110.0,4539,,,2180.305075775333,2181.6261144637338,37.95912027695136,0.37437779687669903,,,,,,,,,,,
17,3,3110.194589891557,3110.194589891557,4539,4125.0,18751589.0,2270.337773808682,2166.4373460552924,-33.67297233213682,-1.337034511556325,0.0,0.0,1178.0,0.0,-0.999193540559237,-0.040153063453441,70.0,4.0,0.0,0.0,80.0
18,2,,3111.0,4539,,,2218.41598966761,2181.996015413952,37.99835384601648,0.374764168997658,,,,,,,,,,,
19,3,3111.194590186184,3111.194590186184,4539,4125.0,18757520.0,2236.5727096950404,2165.07828856975,-33.6177878840833,-1.336072803854786,0.0,0.0,1212.0,0.0,-0.999193540559222,-0.040153063453803005,70.0,4.0,0.0,0.0,80.0
20,2,,3112.0,4539,,,2256.291986959153,2183.2268735980733,37.97617857379349,1.3405195821293852,,,,,,,,,,,
21,3,3112.194590479973,3112.194590479973,4539,4125.0,18763421.0,2202.810921371167,2164.4161706011478,-33.647195913107026,0.020684315906207,0.0,0.0,14.0,1.0,-0.999999993473863,0.00011424654344900001,70.0,4.0,0.0,0.0,80.0
22,2,,3113.0,4539,,,2294.3183712693713,2184.567718293715,38.04164212059327,1.34282944264183,,,,,,,,,,,
23,3,3113.194591207578,3113.194591207578,4539,4125.0,18769350.0,2168.9951879584155,2164.436934504145,-33.67493053889473,0.021988033520836003,0.0,0.0,47.0,1.0,-0.999999993473863,0.00011424654344900001,70.0,4.0,0.0,0.0,80.0
24,2,,3114.0,4539,,,2332.421521965881,2186.3616850741346,37.915417518591944,2.129745342239623,,,,,,,,,,,
25,3,3114.1945924091106,3114.1945924091106,4539,4125.0,18775347.0,2135.2104379280267,2164.439648392282,-33.737504710348745,0.021491075417039002,0.0,0.0,81.0,1.0,-0.999999993473863,0.000114246543086,70.0,4.0,0.0,0.0,80.0
26,2,,3115.0,4539,,,2370.1717308600673,2188.9771897666456,37.902282194292546,3.288020026601351,,,,,,,,,,,
27,3,3115.194594083849,3115.194594083849,4539,4125.0,18781184.0,2102.1631299503356,2167.94254851603,-33.743835348763966,0.206467668077589,0.0,0.0,17.0,1.0,-0.9999845490774311,0.005558921334684001,70.0,4.0,0.0,0.0,80.0
28,2,,3116.0,4539,,,2407.7150652578957,2192.482162354708,37.765995747143194,4.197251537962212,,,,,,,,,,,
29,3,3116.194596231355,3116.194596231355,4539,4125.0,18787121.0,2068.528975254219,2168.1137573158107,-33.739661299369764,0.206296596029577,0.0,0.0,51.0,1.0,-0.9999845490774291,0.005558921335048,70.0,4.0,0.0,0.0,80.0
30,2,,3117.0,4539,,,2445.447413042533,2196.6814014133993,37.81991648157936,4.203243753429623,,,,,,,,,,,
31,2,,3118.0,4539,,,2483.041196962344,2201.3555550012957,37.692121329775404,4.9193159038664485,,,,,,,,,,,
32,2,,3119.0,4539,,,2520.5484410311765,2206.8345481912993,37.61644018394488,5.593475739183074,,,,,,,,,,,
33,2,,3120.0,4539,,,2557.8721757579947,2213.262779840973,37.3696068705724,6.567439822643496,,,,,,,,,,,
34,2,,3121.0,4539,,,2595.329367735787,2219.956495224856,37.20362606341987,7.554918030757815,,,,,,,,,,,
35,2,,3122.0,4539,,,2632.662055240922,2227.5046870098204,37.22904513380883,7.560079569765103,,,,,,,,,,,
36,2,,3123.0,4539,,,2669.789460728541,2235.4480490935343,37.01280036650541,8.800541939433701,,,,,,,,,,,
37,2,,3124.0,4539,,,2706.808766736397,2244.220103623372,37.00540113263671,8.799282031611806,,,,,,,,,,,
38,3,3124.1991430377093,3124.1991430377093,4539,3987.0,18846523.0,3059.17818946417,2351.898998486317,-26.907902038628322,-12.180732237047778,0.0,0.0,364.0,0.0,-0.910991373195666,-0.41242540896878904,50.0,4.0,0.0,0.0,67.0
39,2,,3125.0,4539,,,2743.5219212570705,2253.905041921732,36.5770588014113,10.46434911616905,,,,,,,,,,,
40,3,3125.199143700664,3125.199143700664,4539,3987.0,18852528.0,3032.340025972663,2339.7327814376954,-26.86233644278747,-12.16013869403282,0.0,0.0,394.0,0.0,-0.910991373195801,-0.41242540896849206,50.0,4.0,0.0,0.0,67.0
41,2,,3126.0,4539,,,2779.9397474754633,2264.521029730888,36.24608737372794,11.286294232620094,,,,,,,,,,,
42,3,3126.199131756706,3126.199131756706,4539,3987.0,18858221.0,3005.3094373003846,2328.064008901415,-27.198696067830944,-11.601433922342222,0.0,0.0,423.0,0.0,-0.9198059363295251,-0.39237359683465606,50.0,4.0,0.0,0.0,67.0
43,2,,3127.0,4539,,,2816.1904871583106,2275.8084713386997,36.22431433114712,11.279486386306491,,,,,,,,,,,
